"","b_Nu_Intercept","b_eta_Intercept","b_tau_Intercept","b_rho_Intercept","sd_group__Nu_Intercept","sd_group__eta_Intercept","sd_group__tau_Intercept","sd_group__rho_Intercept","sigma","r_group__Nu.h15.Intercept.","r_group__Nu.h16.Intercept.","r_group__eta.h15.Intercept.","r_group__eta.h16.Intercept.","r_group__tau.h15.Intercept.","r_group__tau.h16.Intercept.","r_group__rho.h15.Intercept.","r_group__rho.h16.Intercept.","lp__"
"3194",0.343877,1.31089,-1.99566,1.02888,2.29624,0.658883,1.64924,0.097553,0,-2.51159,0.194584,0.0816601,-0.347603,-1.27831,1.40664,-0.0574183,-0.158061,-148.233
"3195",0.266464,1.53964,-1.20395,1.04043,1.80641,0.953056,2.55943,0.132711,0,-2.47566,0.477329,-0.143454,-0.581973,-2.08179,0.741213,-0.0614245,-0.230118,-146.327
"3196",-0.982819,0.33282,-1.29516,0.884643,1.4533,0.94244,2.1821,0.0315634,0,0.202057,1.57628,1.02944,0.628234,-1.38818,0.736692,0.0309195,-0.0301118,-147.151
"3197",-1.45093,1.09131,0.214851,0.953746,1.23756,0.89717,2.24017,0.0738253,0,-0.0742965,2.13817,0.306144,-0.132875,-3.28754,-0.728124,0.0170107,-0.117506,-145.87
"3198",0.550189,2.1087,0.322016,0.945703,1.61918,1.60458,2.5374,0.071286,0,-2.4025,-0.0043526,-0.729792,-1.14468,-3.64643,-0.875262,0.0315265,-0.0937414,-149.714
"3199",0.0834127,2.12984,0.289424,0.935501,2.1573,1.36764,2.61473,0.0683756,0,-2.29312,0.450987,-0.724148,-1.16402,-3.81818,-0.886735,0.0699966,-0.0566779,-146.727
"3200",-0.550201,1.57591,-1.47657,0.885031,1.71118,1.40526,2.33507,0.0393028,0,-0.835878,1.07099,-0.195995,-0.605313,-1.502,0.911224,0.0662951,-0.0208203,-147.234
"3201",-0.0504843,2.30614,-1.1205,0.867813,1.70107,1.09708,2.33533,0.0724892,0,-1.55816,0.722945,-0.914304,-1.34101,-2.22055,0.584574,0.1229,-0.0123088,-147.708
"3202",0.643058,0.795242,-0.469296,0.912774,1.21827,2.41936,1.92684,0.0473833,0,-2.81744,0.123619,0.603456,0.166463,-2.79479,-0.0687564,0.0652014,-0.0508793,-149.085
"3203",0.296692,1.01033,-0.149495,0.947567,0.543805,2.77384,1.68206,0.053902,0,-1.3362,0.381202,0.375926,-0.047171,-2.75572,-0.410046,0.00768806,-0.0806019,-148.434
"3204",0.204819,1.00818,0.160329,0.920674,0.52343,2.39012,1.64844,0.0508775,0,-1.27671,0.351972,0.358279,-0.0450916,-3.01514,-0.710331,0.0142738,-0.0684062,-149.626
"3205",0.611228,1.09217,-0.426871,0.984054,1.0923,1.95498,1.6266,0.0681715,0,-2.39176,0.0624423,0.299108,-0.132147,-2.76695,-0.124358,-0.0110994,-0.122801,-146.726
"3206",0.690158,1.40291,-0.794917,0.983916,1.24382,1.6478,1.53344,0.0787243,0,-2.5256,-0.190089,-0.0113008,-0.436964,-2.50918,0.214018,-0.00215524,-0.11951,-146.976
"3207",-0.18507,0.517248,-1.04895,0.905126,1.50558,1.59319,1.20041,0.0918996,0,-1.28578,1.03948,0.858896,0.432209,-2.06333,0.591,0.0554014,-0.0964373,-146.587
"3208",-0.127099,0.666774,-0.91101,0.887579,1.28233,1.46578,1.19615,0.100204,0,-1.195,0.929754,0.718168,0.284479,-2.09852,0.451808,0.073141,-0.0786204,-144.189
"3209",0.566922,1.0917,0.276267,0.790234,1.54811,0.769908,2.7752,0.17442,0,-3.18784,-0.00477149,0.312774,-0.132345,-3.91589,-0.813155,0.217565,0.0509982,-146.001
"3210",-0.779713,1.51449,-1.67864,0.855293,0.998252,0.304363,1.5179,0.0493383,0,-1.03674,1.24258,-0.129671,-0.549966,-1.42671,1.07704,0.103788,0.0185523,-151.145
"3211",-0.748557,1.42048,-1.49803,0.912016,1.41146,0.440102,1.52048,0.0690655,0,-1.40674,1.34452,-0.0205586,-0.45447,-1.98434,0.919078,0.0871224,-0.0379193,-145.279
"3212",-0.0474277,0.939391,-0.760051,0.934749,1.47783,0.500272,1.72255,0.045466,0,-1.4423,0.661772,0.444382,0.0263162,-2.46946,0.190502,0.0418015,-0.0655454,-145.283
"3213",-0.309881,1.30472,-1.24534,0.87085,2.44436,0.370723,0.812891,0.0458052,0,-1.24155,0.97717,0.0796775,-0.348402,-1.72213,0.701777,0.0782416,-0.0189852,-148.602
"3214",0.6477,0.768894,-0.306619,0.929306,3.24101,0.607654,1.79691,0.0798197,0,-3.58945,-0.0109085,0.647027,0.194612,-3.55108,-0.228462,0.0971577,-0.0814408,-147.341
"3215",0.869918,0.932878,-0.688538,0.898105,3.37008,0.380387,0.872458,0.0830977,0,-2.32875,-0.192586,0.463614,0.0284382,-2.39842,0.177499,0.0728559,-0.0601679,-148.497
"3216",1.215,1.20556,0.448679,0.93174,2.81348,0.312203,1.68251,0.0861796,0,-2.84718,-0.569786,0.182012,-0.242755,-3.70843,-1.004,0.0497597,-0.0718925,-147.074
"3217",0.824191,0.564737,-0.0965335,0.965969,4.46171,0.461368,2.47855,0.0617976,0,-2.54508,-0.160673,0.822189,0.391634,-2.86978,-0.434948,-0.0204032,-0.122753,-149.266
"3218",0.447171,0.540014,-0.125862,0.952448,7.83796,0.403909,2.30109,0.0944592,0,-2.64382,0.284964,0.846145,0.41797,-3.2027,-0.374225,0.0229385,-0.1193,-147.765
"3219",0.547533,0.635656,-0.142039,0.935432,7.24931,0.421349,1.74992,0.0535951,0,-1.98525,0.111888,0.739665,0.329977,-2.80446,-0.40449,0.00474758,-0.0724329,-149.863
"3220",0.211331,1.01205,-0.396328,0.905505,4.97196,0.554198,2.99111,0.0839563,0,-3.04164,0.387591,0.384217,-0.0477959,-3.17412,-0.167515,0.0854344,-0.0403687,-145.794
"3221",0.15325,0.982787,-0.556019,0.929288,2.72995,0.555673,1.31954,0.128358,0,-1.74745,0.570963,0.395372,-0.0253422,-2.48429,0.0594652,0.0232841,-0.100329,-142.37
"3222",-0.546777,1.50229,-1.0381,0.764923,1.23719,0.53667,1.92054,0.13442,0,-1.7382,1.17163,-0.103566,-0.542286,-2.41104,0.50791,0.227894,0.0783226,-144.304
"3223",-0.823398,1.37683,-0.556143,0.957598,1.12818,0.581131,1.68222,0.244515,0,0.0685395,1.29164,-0.0132574,-0.410886,-2.02441,-0.0481322,-0.0571395,-0.081843,-145.855
"3224",-0.738869,1.40854,-0.584574,0.997781,1.33636,0.601715,1.7459,0.204695,0,-0.0589046,1.27866,-0.0410856,-0.438006,-2.18467,-0.0227408,-0.0667313,-0.108195,-144.788
"3225",0.719071,0.206509,-0.416255,1.03551,1.43918,1.05368,1.74775,0.192796,0,-2.44818,0.101492,1.18728,0.746145,-2.87504,-0.0564,-0.0508058,-0.217025,-144.259
"3226",0.867029,0.357954,-0.811704,1.0956,1.73934,1.0693,0.873327,0.197872,0,-1.9818,-0.432002,1.02528,0.614049,-2.17925,0.189513,-0.133808,-0.206031,-147.723
"3227",1.02409,0.635397,-0.436111,0.950213,1.77268,1.25193,0.963399,0.335542,0,-2.53791,-0.338309,0.752219,0.32172,-2.56956,-0.063786,0.00799606,-0.123285,-144.327
"3228",-0.252343,0.489481,-0.562975,0.845517,1.75655,1.20546,0.997808,1.00795,0,-1.70877,0.869942,0.911254,0.470568,-2.83559,0.0389058,0.152145,-0.00849713,-143.822
"3229",-0.296328,0.361634,-0.713093,0.922666,2.07665,1.33134,0.86959,1.08276,0,-1.64538,0.844875,1.02145,0.602712,-2.47417,0.145369,0.0400227,-0.0636,-143.882
"3230",-0.777041,-0.183397,-0.881774,0.853693,1.41574,1.21561,1.24636,0.436268,0,-1.53334,1.34375,1.57642,1.15736,-2.57733,0.276199,0.135079,0.0377564,-145.582
